36	大卫·雅洛维斯基	伊丽莎白·班克斯|大卫·丹曼|梅瑞迪斯·海格纳|马特·琼斯|詹尼佛霍兰德|贝基·瓦赫尔斯特罗姆|特伦斯·罗斯摩尔|史蒂芬·布莱克哈特|史蒂夫·阿吉|杰克逊·艾顿|安妮·汉弗莱|克里斯蒂安·芬拉森|艾美·亨特|迈克·顿斯顿
37	佩顿·里德	保罗·路德|伊万杰琳·莉莉|迈克尔·佩纳|汉娜·乔恩-卡门|沃尔顿·戈金斯|鲍比·坎纳瓦尔|朱迪·格雷尔|T.I.|大卫·达斯马齐连|艾比·莱德·弗特森|兰道尔·朴|米歇尔·菲佛|劳伦斯·菲什伯恩|迈克尔·道格拉斯|戈兰·卡斯蒂克|罗布·阿切尔|肖恩·克莱尔|本·戴维斯|迈克尔·瑟沃瑞斯|达克斯·格里芬|海莉·洛维特|玛德琳·麦格劳|蒂姆·海德克|布莱恩·赫斯基|朱莉娅·维拉|布莱恩·卢戈|托里·沃格尔|汤姆·夏普林|斯坦·李|约瑟夫·阿梅|安迪·阿尼斯|威廉·W·巴伯|玛塞拉·布拉吉奥|塞尔吉奥·布里奥内斯|乔·布卡罗三世|蒂莫西·卡尔|贾迈尔·钱伯斯|扎卡里·卡伯森|雅各布·埃文斯|米歇尔·方|盖尔·甘布尔|克里斯·加恩|约翰·盖蒂尔|杰克·汉森|卡茜·亨德利
38	特拉维斯·奈特	海莉·斯坦菲尔德|小豪尔赫·兰登伯格|约翰·塞纳|杰森·德鲁克|帕梅拉·阿德龙|斯蒂芬·施耐德|里卡多·霍约斯|约翰·奥提兹|格林·特鲁曼|兰·卡琉|格蕾丝·达斯恩妮|弗里德·杜莱尔|蓝尼·雅各布森 |梅金·普莱斯|萨钦·巴特|蒂姆·马丁·格里森|安东尼奥·查丽蒂|艾德文·霍德吉|拉斯·斯兰德|迪伦·奥布莱恩|彼特·库伦|安吉拉·贝塞特|贾斯汀·塞洛克斯|大卫·索博洛夫|格蕾·德丽斯勒|史蒂夫·布卢姆|安德鲁·莫尔加多|威廉·W·巴伯|罗伯特·切斯纳特|米歇尔·方|克里斯蒂安·哈切森|里克·理查森|瓦内萨·罗斯|波士顿·拉什·弗里曼|托尼·托斯特|迪娜·特鲁迪|艾蒂安·维克
39	林德禄	古天乐|郑嘉颖|林峯|林家栋|周秀娜|张智霖|谭耀文|张继聪|蔡瀚亿|廖启智|艾威|卢海鹏|夏嫣|黄致豪|张松枝|张建声|栢天男|丁海峰|刘梦娜|陈静|朱鉴然|灰熊|石修|陈曼娜|关礼杰|薛世恒
40	蒂姆·波顿	伊娃·格林|科林·法瑞尔|迈克尔·基顿|妮可·帕克|芬利·霍宾斯|丹尼·德维托|艾伦·阿金|卡米尔·雷米泽斯基|约瑟夫·盖特|桑迪·马丁|乔·奥斯蒙德|莎朗·鲁妮|拉斯·艾丁格|罗珊·塞斯|道比·欧帕瑞|迈克尔·巴佛|杰茜·维宁|伯纳多·桑托斯|贝恩·科拉科|文森特·阿德里安|菲利普·罗施|露西·德维托|拉普洛斯·卡伦福佐斯|阿梅吉特·德尤|史蒂芬·萨姆森|埃里克·海登
41	白雪	黄尧|孙阳|汤加文|倪虹洁|江美仪|廖启智|焦刚
42	克里斯托弗·麦奎里	汤姆·克鲁斯|亨利·卡维尔|文·瑞姆斯|西蒙·佩吉|丽贝卡·弗格森|西恩·哈里斯|安吉拉·贝塞特|凡妮莎·柯比|米歇尔·莫纳汉|韦斯·本特利|费雷德里克·施密特|亚历克·鲍德温|杨亮|克里斯托弗·约纳尔|沃尔夫·布利策|拉斐尔·琼勒|安德鲁·卡扎纳夫·平|克里斯多夫·德·舒瓦西|拉裴尔·德普雷|让·巴普蒂斯特·菲永|马克斯·盖勒|奥利维尔·体班德|亚历山大·普尔|阿利克斯·贝纳泽什|乔伊·安沙|维利贝·托皮奇|格雷厄姆·福克斯|卡斯珀·菲利普森|菲恩·乔利|鲁斯·贝恩|奈杰尔·艾伦
43	大森贵弘|伊藤秀树	神谷浩史|井上和彦|高良健吾|小林沙苗|泽城美雪|石田彰|藤村步|村濑步|伊藤美纪|伊藤荣次|堀江一真|佐藤利奈|木村良平|菅沼久义|雪野五月|川澄绫子|樋口晓里|冈村明美|黑田崇矢|长岛雄一|松山鹰志|下崎纮史|知桐京子|岛本须美
44	张栾	于谦|汤梦佳|王广源|秦鸣悦|徐子力|孙艺杨|徐紫茵|郝鹏飞|郜玄铭|黑妹|田雨|吴京|张国立|何冰|艾伦|胡军|马未都|史可|杨立新|乔杉|许娣|韩童生|蒋小涵|刘威|马苏|吴樾|孙越|丁海峰|王志飞|常戎|关凌
45	姜文	彭于晏|廖凡|姜文|周韵|许晴|泽田谦也|安地|史航|李梦|丁嘉丽|陈曦
46	周星驰	王宝强|鄂靖文|张全蛋|景如洋|张琪|袁兴哲|田启文|黄骁鹏|蔡哲睿|苗溢伦
47	张艺谋	邓超|孙俪|郑恺|王千源|王景春|胡军|关晓彤|吴磊|封柏
48	亚当·罗比特尔	泰勒·拉塞尔|洛根·米勒|黛博拉·安沃尔|泰勒·莱伯恩|杰·埃利斯|尼克·多达尼|杰西卡·萨顿|约里克·范·韦杰宁根|杰米-李·蒙尼|亚当·罗比特尔|韦尔·廷德尔|肯尼思·霍|科尼利厄斯·吉尼|保罗·汉普赛尔|佩泰·塞彭克|丹·格伦伯格|吉诺·李
49	凯尔·纽瓦切克	詹妮弗·安妮斯顿|亚当·桑德勒|杰玛·阿特登|卢克·伊万斯|丹尼·伯恩|忽那汐里|奥拉维尔·达里·奥拉夫松|杰姬·桑德勒|特伦斯·斯坦普|约翰·卡尼|大卫·威廉姆斯|阿迪勒·阿赫塔尔|苏芙·布莱德肖|路易斯·赫拉尔多·门德斯|埃里克·格里芬|维克托·特平|妮可·兰德尔·约翰逊|埃莱娜·卡多纳|丹妮拉·桑德福德|彼得·阿佩塞拉|拉斐尔·格罗斯-哈维|安德烈·多伦特
